id_seccion,municipio,renta_hogar,pct_vulnerabilidad_extranjera
080060800601 Arenys de Mar distrito 010800601002 Arenys de Mar sección 01002,Arenys de Mar,39862.0,0.0
080060800601 Arenys de Mar distrito 010800601002 Arenys de Mar sección 01002,Arenys de Mar,39862.0,0.0
080060800601 Arenys de Mar distrito 010800601003 Arenys de Mar sección 01003,Arenys de Mar,40946.0,0.0
080060800601 Arenys de Mar distrito 010800601003 Arenys de Mar sección 01003,Arenys de Mar,40946.0,0.0
080060800601 Arenys de Mar distrito 010800601003 Arenys de Mar sección 01003,Arenys de Mar,40946.0,0.0
080060800601 Arenys de Mar distrito 010800601004 Arenys de Mar sección 01004,Arenys de Mar,48116.0,0.0
080060800601 Arenys de Mar distrito 010800601004 Arenys de Mar sección 01004,Arenys de Mar,48116.0,0.0
080060800601 Arenys de Mar distrito 010800601004 Arenys de Mar sección 01004,Arenys de Mar,48116.0,0.0
080060800602 Arenys de Mar distrito 020800602001 Arenys de Mar sección 02001,Arenys de Mar,36371.0,0.0
080060800602 Arenys de Mar distrito 020800602001 Arenys de Mar sección 02001,Arenys de Mar,36371.0,0.0
080060800602 Arenys de Mar distrito 020800602001 Arenys de Mar sección 02001,Arenys de Mar,36371.0,0.0
080060800602 Arenys de Mar distrito 020800602002 Arenys de Mar sección 02002,Arenys de Mar,39862.0,0.0
080060800602 Arenys de Mar distrito 020800602002 Arenys de Mar sección 02002,Arenys de Mar,39862.0,0.0
080060800602 Arenys de Mar distrito 020800602002 Arenys de Mar sección 02002,Arenys de Mar,39862.0,0.0
080060800602 Arenys de Mar distrito 020800602003 Arenys de Mar sección 02003,Arenys de Mar,52728.0,0.0
080060800602 Arenys de Mar distrito 020800602003 Arenys de Mar sección 02003,Arenys de Mar,52728.0,0.0
080060800602 Arenys de Mar distrito 020800602003 Arenys de Mar sección 02003,Arenys de Mar,52728.0,0.0
080060800602 Arenys de Mar distrito 020800602004 Arenys de Mar sección 02004,Arenys de Mar,38643.0,0.0
080060800602 Arenys de Mar distrito 020800602004 Arenys de Mar sección 02004,Arenys de Mar,38643.0,0.0
080060800602 Arenys de Mar distrito 020800602004 Arenys de Mar sección 02004,Arenys de Mar,38643.0,0.0
080060800602 Arenys de Mar distrito 020800602005 Arenys de Mar sección 02005,Arenys de Mar,38845.0,0.0
080060800602 Arenys de Mar distrito 020800602005 Arenys de Mar sección 02005,Arenys de Mar,38845.0,0.0
080060800602 Arenys de Mar distrito 020800602005 Arenys de Mar sección 02005,Arenys de Mar,38845.0,0.0
080070800701 Arenys de Munt distrito 010800701001 Arenys de Munt sección 01001,Arenys de Munt,42836.0,0.0
080070800701 Arenys de Munt distrito 010800701001 Arenys de Munt sección 01001,Arenys de Munt,42836.0,0.0
080070800701 Arenys de Munt distrito 010800701001 Arenys de Munt sección 01001,Arenys de Munt,42836.0,0.0
080070800701 Arenys de Munt distrito 010800701002 Arenys de Munt sección 01002,Arenys de Munt,40798.0,0.0
080070800701 Arenys de Munt distrito 010800701002 Arenys de Munt sección 01002,Arenys de Munt,40798.0,0.0
080070800701 Arenys de Munt distrito 010800701002 Arenys de Munt sección 01002,Arenys de Munt,40798.0,0.0
080070800701 Arenys de Munt distrito 010800701003 Arenys de Munt sección 01003,Arenys de Munt,42467.0,0.0
080070800701 Arenys de Munt distrito 010800701003 Arenys de Munt sección 01003,Arenys de Munt,42467.0,0.0
080070800701 Arenys de Munt distrito 010800701003 Arenys de Munt sección 01003,Arenys de Munt,42467.0,0.0
080070800702 Arenys de Munt distrito 020800702001 Arenys de Munt sección 02001,Arenys de Munt,51125.0,0.0
080070800702 Arenys de Munt distrito 020800702001 Arenys de Munt sección 02001,Arenys de Munt,51125.0,0.0
080070800702 Arenys de Munt distrito 020800702001 Arenys de Munt sección 02001,Arenys de Munt,51125.0,0.0
080070800702 Arenys de Munt distrito 020800702002 Arenys de Munt sección 02002,Arenys de Munt,40098.0,0.0
080070800702 Arenys de Munt distrito 020800702002 Arenys de Munt sección 02002,Arenys de Munt,40098.0,0.0
080070800702 Arenys de Munt distrito 020800702002 Arenys de Munt sección 02002,Arenys de Munt,40098.0,0.0
080080800801 Argençola distrito 010800801001 Argençola sección 01001,Argençola,42456.0,0.0
080080800801 Argençola distrito 010800801001 Argençola sección 01001,Argençola,42456.0,0.0
080080800801 Argençola distrito 010800801001 Argençola sección 01001,Argençola,42456.0,0.0
080090800901 Argentona distrito 010800901001 Argentona sección 01001,Argentona,53424.0,0.0
080090800901 Argentona distrito 010800901001 Argentona sección 01001,Argentona,53424.0,0.0
080090800901 Argentona distrito 010800901001 Argentona sección 01001,Argentona,53424.0,0.0
080090800901 Argentona distrito 010800901002 Argentona sección 01002,Argentona,41996.0,0.0
080090800901 Argentona distrito 010800901002 Argentona sección 01002,Argentona,41996.0,0.0
080090800901 Argentona distrito 010800901002 Argentona sección 01002,Argentona,41996.0,0.0
080090800901 Argentona distrito 010800901003 Argentona sección 01003,Argentona,39106.0,0.0
080090800901 Argentona distrito 010800901003 Argentona sección 01003,Argentona,39106.0,0.0
080090800901 Argentona distrito 010800901003 Argentona sección 01003,Argentona,39106.0,0.0
080090800901 Argentona distrito 010800901004 Argentona sección 01004,Argentona,51251.0,0.0
080090800901 Argentona distrito 010800901004 Argentona sección 01004,Argentona,51251.0,0.0
080090800901 Argentona distrito 010800901004 Argentona sección 01004,Argentona,51251.0,0.0
080090800901 Argentona distrito 010800901005 Argentona sección 01005,Argentona,59475.0,0.0
080090800901 Argentona distrito 010800901005 Argentona sección 01005,Argentona,59475.0,0.0
080090800901 Argentona distrito 010800901005 Argentona sección 01005,Argentona,59475.0,0.0
080090800901 Argentona distrito 010800901006 Argentona sección 01006,Argentona,75258.0,0.0
080090800901 Argentona distrito 010800901006 Argentona sección 01006,Argentona,75258.0,0.0
080090800901 Argentona distrito 010800901006 Argentona sección 01006,Argentona,75258.0,0.0
080090800902 Argentona distrito 020800902001 Argentona sección 02001,Argentona,45294.0,0.0
080090800902 Argentona distrito 020800902001 Argentona sección 02001,Argentona,45294.0,0.0
080090800902 Argentona distrito 020800902001 Argentona sección 02001,Argentona,45294.0,0.0
080090800902 Argentona distrito 020800902002 Argentona sección 02002,Argentona,42228.0,0.0
080090800902 Argentona distrito 020800902002 Argentona sección 02002,Argentona,42228.0,0.0
080090800902 Argentona distrito 020800902002 Argentona sección 02002,Argentona,42228.0,0.0
080090800902 Argentona distrito 020800902003 Argentona sección 02003,Argentona,43061.0,0.0
080090800902 Argentona distrito 020800902003 Argentona sección 02003,Argentona,43061.0,0.0
080090800902 Argentona distrito 020800902003 Argentona sección 02003,Argentona,43061.0,0.0
080100801001 Artés distrito 010801001001 Artés sección 01001,Artés,37979.0,0.0
080100801001 Artés distrito 010801001001 Artés sección 01001,Artés,37979.0,0.0
080100801001 Artés distrito 010801001001 Artés sección 01001,Artés,37979.0,0.0
080100801002 Artés distrito 020801002001 Artés sección 02001,Artés,40804.0,0.0
